Date,vitamin,1/4 MED,1 MED
2019-06-01,17,14,57
2019-06-02,17,14,58
2019-06-03,18,15,60
2019-06-04,18,15,60
2019-06-05,18,15,59
2019-06-06,17,14,57
2019-06-07,18,15,59
2019-06-08,18,15,60
2019-06-09,18,15,61
2019-06-10,17,14,61
2019-06-11,20,16,63
2019-06-12,18,16,62
2019-06-13,20,16,65
2019-06-14,17,14,61
2019-06-15,16,14,58
2019-06-16,16,13,55
2019-06-17,16,13,57
2019-06-18,16,13,56
2019-06-19,17,14,57
2019-06-20,16,14,56
2019-06-21,16,14,55
2019-06-22,17,14,59
2019-06-23,17,14,59
2019-06-24,19,16,62
2019-06-25,20,16,65
2019-06-26,20,16,66
2019-06-27,20,16,64
2019-06-28,20,16,66
2019-06-29,21,16,70
2019-06-30,20,16,66
2019-07-01,23,17,73
2019-07-02,22,17,71
2019-07-03,21,17,70
2019-07-04,23,18,72
2019-07-05,24,18,74
2019-07-06,21,16,66
2019-07-07,18,15,59
2019-07-08,18,15,60
2019-07-09,16,14,55
2019-07-10,17,14,56
2019-07-11,17,14,59
2019-07-12,17,14,59
2019-07-13,17,14,57
2019-07-14,17,14,59
2019-07-15,17,14,58
2019-07-16,17,14,56
2019-07-17,16,13,55
2019-07-18,18,14,59
2019-07-19,18,14,59
2019-07-20,17,14,58
2019-07-21,17,14,58
2019-07-22,19,14,61
2019-07-23,19,14,62
2019-07-24,18,14,58
2019-07-25,19,14,61
2019-07-26,19,14,61
2019-07-27,18,14,58
2019-07-28,17,13,56
2019-07-29,17,13,56
2019-07-30,14,12,49
2019-07-31,14,11,48
2019-08-01,16,12,51
2019-08-02,18,13,57
2019-08-03,16,12,51
2019-08-04,12,10,43
2019-08-05,11,11,41
2019-08-06,11,10,40
2019-08-07,11,10,41
2019-08-08,11,11,41
2019-08-09,14,11,47
2019-08-10,14,11,44
2019-08-11,12,11,41
2019-08-12,12,11,42
2019-08-13,12,11,42
2019-08-14,12,10,40
2019-08-15,12,10,40
2019-08-16,11,10,38
2019-08-17,11,10,38
2019-08-18,11,10,40
2019-08-19,11,10,38
2019-08-20,10,10,36
2019-08-21,11,10,37
2019-08-22,11,10,38
2019-08-23,10,8,34
2019-08-24,11,10,36
2019-08-25,10,8,32
2019-08-26,9,8,32
2019-08-27,10,9,33
2019-08-28,10,9,34
2019-08-29,10,9,34
2019-08-30,11,9,37
2019-08-31,10,8,35
2019-09-01,8,8,29
2019-09-02,9,8,32
2019-09-03,11,8,35
2019-09-04,9,9,33
2019-09-05,9,8,31
2019-09-06,9,8,29
2019-09-07,8,6,27
2019-09-08,8,7,29
2019-09-09,10,7,31
2019-09-10,10,7,31
2019-09-11,8,6,26
2019-09-12,8,6,26
2019-09-13,8,6,26
2019-09-14,6,6,25
2019-09-15,6,6,24
2019-09-16,8,6,26
2019-09-17,7,7,25
2019-09-18,7,5,23
2019-09-19,7,5,23
2019-09-20,8,7,26
2019-09-21,7,5,23
2019-09-22,7,6,25
2019-09-23,7,7,25
2019-09-24,8,7,26
2019-09-25,6,5,23
2019-09-26,5,5,21
2019-09-27,5,5,21
2019-09-28,5,5,21
2019-09-29,5,5,21
2019-09-30,5,5,21
2019-10-01,6,6,21
2019-10-02,6,6,21
2019-10-03,5,5,20
2019-10-04,5,5,20
2019-10-05,5,4,19
2019-10-06,6,5,21
2019-10-07,5,5,21
2019-10-08,5,5,20
2019-10-09,5,5,20
2019-10-10,6,5,20
2019-10-11,6,5,19
2019-10-12,5,5,19
2019-10-13,5,5,19
2019-10-14,5,5,18
2019-10-15,5,5,18
2019-10-16,4,4,17
2019-10-17,5,4,19
2019-10-18,4,4,16
2019-10-19,4,4,16
2019-10-20,5,5,17
2019-10-21,5,5,17
2019-10-22,5,5,18
2019-10-23,5,5,18
2019-10-24,5,5,18
2019-10-25,5,5,17
2019-10-26,5,5,17
2019-10-27,5,5,17
2019-10-28,5,5,18
2019-10-29,5,5,18
2019-10-30,5,5,17
2019-10-31,5,3,16
2019-11-01,5,3,16
2019-11-02,5,3,16
