Dia,vitamin,MED
190601,26,71
190602,27,71
190603,27,72
190604,27,72
190605,27,71
190606,26,71
190607,27,71
190608,27,74
190609,29,74
190610,29,74
190611,31,77
190612,29,76
190613,31,77
190614,29,74
190615,27,72
190616,26,70
190617,26,71
190618,26,71
190619,26,71
190620,26,70
190621,26,70
190622,27,72
190623,27,74
190624,31,77
190625,32,80
190626,32,81
190627,32,79
190628,32,81
190629,35,83
190630,34,81
190701,38,87
190702,36,86
190703,35,83
190704,36,86
190705,38,87
190706,34,80
190707,29,74
190708,29,76
190709,26,70
190710,27,72
190711,29,74
190712,29,76
190713,29,74
190714,29,74
190715,29,74
190716,27,71
190717,27,71
190718,31,76
190719,29,74
190720,29,74
190721,29,74
190722,32,77
190723,32,77
190724,31,74
190725,32,77
190726,32,76
190727,31,74
190728,29,71
190729,29,71
190730,25,65
190731,23,64
190801,26,66
190802,29,72
190803,26,66
190804,21,59
190805,20,56
190806,19,53
190807,20,55
190808,20,56
190809,23,62
190810,21,59
190811,20,55
190812,20,56
190813,20,56
190814,19,53
190815,19,53
190816,17,50
190817,19,51
190818,19,53
190819,19,51
190820,17,49
190821,17,50
190822,19,50
190823,16,46
190824,17,49
190825,14,44
190826,14,42
190827,14,44
190828,14,44
190829,14,44
190830,17,49
190831,16,46
190901,14,40
190902,14,41
190903,16,44
190904,14,42
190905,14,41
190906,12,38
190907,11,35
190908,12,38
190909,14,41
190910,14,41
190911,11,35
190912,11,35
190913,11,34
190914,10,32
190915,10,31
190916,11,34
190917,10,32
190918,10,29
190919,10,31
190920,11,32
190921,10,31
190922,10,31
190923,10,31
190924,11,32
190925,10,29
190926,8,27
190927,8,27
190928,8,26
190929,8,26
190930,8,26
191001,8,26
191002,8,26
191003,8,26
191004,8,26
191005,8,25
191006,8,26
191007,8,26
191008,8,26
191009,8,25
191010,8,25
191011,6,23
191012,6,23
191013,6,23
191014,6,21
191015,6,21
191016,6,21
191017,8,25
191018,5,20
191019,5,20
191020,6,21
191021,6,21
191022,6,23
191023,6,23
191024,6,21
191025,6,20
191026,5,20
191027,5,20
191028,6,21
191029,5,20
191030,5,20
191031,5,20
191101,5,20
191102,5,19
191103,5,19
191104,5,20
191105,5,20
191106,5,20
191107,5,20
191108,5,19
191109,5,19
191110,5,19
191111,5,19
191112,5,17
191113,5,17
191114,5,17
191115,5,17
191116,5,17
191117,5,19
191118,5,19
191119,5,19
191120,5,17
191121,5,16
191122,5,17
191123,5,17
191124,5,16
191125,5,17
191126,5,17
191127,5,19
191128,5,17
191129,5,17
191130,5,17
191201,5,17
191202,5,17
191203,5,19
191204,5,19
191205,5,19
191206,5,17
191207,5,17
191208,5,17
191209,5,17
191210,5,17
191211,5,17
191212,5,17
191213,5,17
191214,5,17
191215,5,19
191216,5,19
191217,5,19
191218,5,17
191219,5,17
191220,5,17
191221,5,19
191222,5,19
191223,5,17
191224,5,17
191225,5,17
191226,5,17
191227,5,16
191228,5,16
191229,5,16
191230,5,16
191231,5,17
200101,5,17
200102,5,17
200103,5,17
200104,5,17
200105,5,17
200106,5,19
200107,5,17
200108,5,17
200109,5,17
200110,5,17
200111,5,17
200112,5,17
200113,5,17
200114,5,17
200115,5,17
200116,5,19
200117,5,19
200118,5,19
200119,5,17
200120,5,17
200121,5,19
200122,5,19
200123,5,19
200124,5,19
200125,5,19
200126,5,20
200127,5,20
200128,5,20
200129,5,19
200130,6,21
200131,5,20
200201,5,20
200202,5,20
200203,5,20
200204,5,19
200205,5,19
200206,5,20
200207,5,19
200208,5,20
200209,5,20
200210,6,21
200211,6,21
200212,6,20
200213,6,20
200214,6,20
200215,6,21
200216,5,20
200217,5,20
200218,5,20
200219,5,20
200220,6,21
200221,6,23
200222,6,23
200223,8,25
200224,8,23
200225,8,26
200226,8,25
200227,8,25
200228,8,25
200229,8,25
200301,8,25
200302,8,23
200303,8,23
200304,6,23
200305,8,25
200306,8,26
200307,8,26
200308,8,26
200309,8,26
200310,8,25
200311,8,25
200312,8,26
200313,8,26
200314,8,25
200315,8,25
200316,8,26
200317,8,26
200318,8,27
200319,8,29
200320,8,29
200321,8,29
200322,8,27
200323,8,29
200324,8,29
200325,8,29
200326,10,31
200327,8,29
200328,10,31
200329,8,29
200330,8,29
200331,8,29
200401,10,31
200402,10,31
200403,10,31
200404,10,31
200405,10,32
200406,11,32
200407,11,34
200408,11,35
200409,11,36
200410,11,36
200411,11,35
200412,11,38
200413,14,42
200414,14,41
200415,14,41
200416,14,41
200417,14,41
200418,12,41
200419,14,41
200420,14,41
200421,14,41
200422,14,41
200423,14,41
200424,14,41
200425,14,42
200426,16,47
200427,14,44
200428,16,47
200429,14,46
200430,16,46
200501,16,46
200502,16,46
200503,17,49
200504,17,51
200505,17,51
200506,20,56
200507,20,56
200508,19,53
200509,17,53
200510,20,56
200511,20,57
200512,23,61
200513,21,59
200514,20,59
200515,20,57
200516,20,56
200517,20,56
200518,19,55
200519,20,57
200520,21,59
200521,23,64
200522,26,68
200523,23,64
200524,23,62
200525,21,62
200526,23,62
200527,23,64
200528,25,66
200529,25,66
200530,25,66
200531,31,77
