hora,sza,uv,pre vitamina D
11.0000,31.254,1.033E+01,5.159E-01
11.0167,31.051,1.038E+01,5.189E-01
11.0333,30.846,1.044E+01,5.219E-01
11.0500,30.642,1.050E+01,5.248E-01
11.0667,30.439,1.054E+01,5.270E-01
11.0833,30.235,1.061E+01,5.308E-01
11.1000,30.032,1.067E+01,5.338E-01
11.1167,29.829,1.073E+01,5.368E-01
11.1333,29.626,1.079E+01,5.397E-01
11.1500,29.423,1.084E+01,5.426E-01
11.1667,29.221,1.090E+01,5.455E-01
11.1833,29.018,1.095E+01,5.485E-01
11.2000,28.816,1.101E+01,5.514E-01
11.2167,28.615,1.106E+01,5.543E-01
11.2333,28.413,1.112E+01,5.571E-01
11.2500,28.212,1.117E+01,5.600E-01
11.2667,28.011,1.123E+01,5.628E-01
11.2833,27.810,1.128E+01,5.656E-01
11.3000,27.610,1.134E+01,5.684E-01
11.3167,27.409,1.139E+01,5.712E-01
11.3333,27.209,1.145E+01,5.740E-01
11.3500,27.010,1.150E+01,5.768E-01
11.3667,26.810,1.155E+01,5.795E-01
11.3833,26.611,1.160E+01,5.822E-01
11.4000,26.413,1.166E+01,5.850E-01
11.4167,26.214,1.171E+01,5.877E-01
11.4333,26.016,1.175E+01,5.899E-01
11.4500,25.818,1.181E+01,5.930E-01
11.4667,25.621,1.186E+01,5.956E-01
11.4833,25.424,1.191E+01,5.980E-01
11.5000,25.228,1.196E+01,6.009E-01
11.5167,25.031,1.201E+01,6.035E-01
11.5333,24.835,1.206E+01,6.061E-01
11.5500,24.639,1.211E+01,6.086E-01
11.5667,24.444,1.216E+01,6.112E-01
11.5833,24.250,1.221E+01,6.137E-01
11.6000,24.056,1.226E+01,6.162E-01
11.6167,23.862,1.231E+01,6.187E-01
11.6333,23.668,1.236E+01,6.211E-01
11.6500,23.475,1.240E+01,6.236E-01
11.6667,23.283,1.245E+01,6.260E-01
11.6833,23.091,1.249E+01,6.282E-01
11.7000,22.900,1.253E+01,6.300E-01
11.7167,22.708,1.259E+01,6.331E-01
11.7333,22.518,1.264E+01,6.355E-01
11.7500,22.328,1.268E+01,6.378E-01
11.7667,22.139,1.272E+01,6.401E-01
11.7833,21.950,1.276E+01,6.419E-01
11.8000,21.762,1.281E+01,6.442E-01
11.8167,21.574,1.286E+01,6.469E-01
11.8333,21.387,1.290E+01,6.490E-01
11.8500,21.201,1.294E+01,6.511E-01
11.8667,21.016,1.298E+01,6.534E-01
11.8833,20.830,1.303E+01,6.556E-01
11.9000,20.646,1.307E+01,6.578E-01
11.9167,20.462,1.311E+01,6.598E-01
11.9333,20.279,1.315E+01,6.620E-01
11.9500,20.097,1.319E+01,6.640E-01
11.9667,19.916,1.323E+01,6.660E-01
11.9833,19.736,1.327E+01,6.681E-01
