hora,sza,uv,pre vitamina D
11.0000,41.663,6.094E+00,2.929E-01
11.0167,41.490,6.137E+00,2.952E-01
11.0333,41.318,6.180E+00,2.975E-01
11.0500,41.145,6.222E+00,2.997E-01
11.0667,40.973,6.265E+00,3.019E-01
11.0833,40.802,6.307E+00,3.042E-01
11.1000,40.632,6.349E+00,3.064E-01
11.1167,40.463,6.387E+00,3.083E-01
11.1333,40.293,6.433E+00,3.108E-01
11.1500,40.124,6.475E+00,3.130E-01
11.1667,39.956,6.516E+00,3.152E-01
11.1833,39.789,6.558E+00,3.174E-01
11.2000,39.622,6.599E+00,3.196E-01
11.2167,39.456,6.640E+00,3.217E-01
11.2333,39.291,6.682E+00,3.239E-01
11.2500,39.126,6.723E+00,3.260E-01
11.2667,38.962,6.763E+00,3.282E-01
11.2833,38.798,6.804E+00,3.303E-01
11.3000,38.636,6.844E+00,3.324E-01
11.3167,38.474,6.885E+00,3.346E-01
11.3333,38.312,6.924E+00,3.367E-01
11.3500,38.152,6.965E+00,3.388E-01
11.3667,37.992,7.005E+00,3.409E-01
11.3833,37.832,7.045E+00,3.430E-01
11.4000,37.675,7.084E+00,3.450E-01
11.4167,37.517,7.121E+00,3.469E-01
11.4333,37.360,7.162E+00,3.492E-01
11.4500,37.204,7.201E+00,3.512E-01
11.4667,37.048,7.240E+00,3.532E-01
11.4833,36.894,7.279E+00,3.553E-01
11.5000,36.741,7.317E+00,3.573E-01
11.5167,36.588,7.355E+00,3.593E-01
11.5333,36.436,7.393E+00,3.613E-01
11.5500,36.284,7.430E+00,3.632E-01
11.5667,36.134,7.468E+00,3.652E-01
11.5833,35.985,7.505E+00,3.671E-01
11.6000,35.836,7.542E+00,3.691E-01
11.6167,35.688,7.578E+00,3.710E-01
11.6333,35.541,7.615E+00,3.729E-01
11.6500,35.395,7.651E+00,3.748E-01
11.6667,35.250,7.687E+00,3.767E-01
11.6833,35.107,7.723E+00,3.786E-01
11.7000,34.964,7.757E+00,3.804E-01
11.7167,34.821,7.794E+00,3.823E-01
11.7333,34.680,7.829E+00,3.841E-01
11.7500,34.540,7.863E+00,3.860E-01
11.7667,34.402,7.897E+00,3.878E-01
11.7833,34.263,7.932E+00,3.896E-01
11.8000,34.126,7.965E+00,3.913E-01
11.8167,33.989,7.996E+00,3.929E-01
11.8333,33.854,8.033E+00,3.948E-01
11.8500,33.720,8.065E+00,3.966E-01
11.8667,33.588,8.098E+00,3.983E-01
11.8833,33.456,8.131E+00,4.000E-01
11.9000,33.325,8.163E+00,4.017E-01
11.9167,33.195,8.195E+00,4.033E-01
11.9333,33.066,8.222E+00,4.047E-01
11.9500,32.939,8.256E+00,4.066E-01
11.9667,32.813,8.285E+00,4.080E-01
11.9833,32.688,8.319E+00,4.098E-01
12.0000,32.564,8.349E+00,4.114E-01
12.0167,32.441,8.379E+00,4.130E-01
12.0333,32.319,8.409E+00,4.146E-01
12.0500,32.200,8.438E+00,4.161E-01
12.0667,32.080,8.467E+00,4.176E-01
12.0833,31.962,8.496E+00,4.191E-01
12.1000,31.846,8.524E+00,4.206E-01
12.1167,31.730,8.552E+00,4.220E-01
12.1333,31.616,8.580E+00,4.235E-01
